Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;09 Burgos;1 de enero de 2010;374.004,982475
Ambos sexos;Total;09 Burgos;1 de enero de 2009;374.808,226065
Ambos sexos;Total;09 Burgos;1 de enero de 2008;372.560,948523
Ambos sexos;Total;09 Burgos;1 de enero de 2007;365.302,988591
Ambos sexos;Total;09 Burgos;1 de enero de 2006;360.693,602332
Ambos sexos;Total;09 Burgos;1 de enero de 2005;357.690,223820
Ambos sexos;Total;09 Burgos;1 de enero de 2004;354.228,250193
Ambos sexos;Total;09 Burgos;1 de enero de 2003;352.086,059316
Ambos sexos;Total;10 Cáceres;1 de enero de 2022;386.362,353138
Ambos sexos;Total;10 Cáceres;1 de enero de 2021;388.404,579853
Ambos sexos;Total;10 Cáceres;1 de enero de 2020;391.076,163072
Ambos sexos;Total;10 Cáceres;1 de enero de 2019;392.930,797144
Ambos sexos;Total;10 Cáceres;1 de enero de 2018;395.527,730619
Ambos sexos;Total;10 Cáceres;1 de enero de 2017;399.032,949350
Ambos sexos;Total;10 Cáceres;1 de enero de 2016;402.397,083110
Ambos sexos;Total;10 Cáceres;1 de enero de 2015;405.531,198241
Ambos sexos;Total;10 Cáceres;1 de enero de 2014;407.774,300650
Ambos sexos;Total;10 Cáceres;1 de enero de 2013;410.073,934587
Ambos sexos;Total;10 Cáceres;1 de enero de 2012;412.501,187240
Ambos sexos;Total;10 Cáceres;1 de enero de 2011;412.397,460455
Ambos sexos;Total;10 Cáceres;1 de enero de 2010;411.859,844157
Ambos sexos;Total;10 Cáceres;1 de enero de 2009;410.299,787168
Ambos sexos;Total;10 Cáceres;1 de enero de 2008;408.974,980193
Ambos sexos;Total;10 Cáceres;1 de enero de 2007;407.706,038202
Ambos sexos;Total;10 Cáceres;1 de enero de 2006;406.420,037045
Ambos sexos;Total;10 Cáceres;1 de enero de 2005;405.686,976228
Ambos sexos;Total;10 Cáceres;1 de enero de 2004;404.734,358074
Ambos sexos;Total;10 Cáceres;1 de enero de 2003;404.127,393221
Ambos sexos;Total;11 Cádiz;1 de enero de 2022;1.259.432,290062
Ambos sexos;Total;11 Cádiz;1 de enero de 2021;1.258.153,303823
Ambos sexos;Total;11 Cádiz;1 de enero de 2020;1.254.728,354794
Ambos sexos;Total;11 Cádiz;1 de enero de 2019;1.249.739,397080
Ambos sexos;Total;11 Cádiz;1 de enero de 2018;1.249.244,623866
Ambos sexos;Total;11 Cádiz;1 de enero de 2017;1.248.957,835902
Ambos sexos;Total;11 Cádiz;1 de enero de 2016;1.248.241,263586
Ambos sexos;Total;11 Cádiz;1 de enero de 2015;1.248.584,063654
Ambos sexos;Total;11 Cádiz;1 de enero de 2014;1.247.552,399249
Ambos sexos;Total;11 Cádiz;1 de enero de 2013;1.247.578,224691
Ambos sexos;Total;11 Cádiz;1 de enero de 2012;1.245.362,542582
Ambos sexos;Total;11 Cádiz;1 de enero de 2011;1.238.923,370767
Ambos sexos;Total;11 Cádiz;1 de enero de 2010;1.229.844,194437
Ambos sexos;Total;11 Cádiz;1 de enero de 2009;1.221.023,915624
Ambos sexos;Total;11 Cádiz;1 de enero de 2008;1.209.066,788026
Ambos sexos;Total;11 Cádiz;1 de enero de 2007;1.193.632,389188
Ambos sexos;Total;11 Cádiz;1 de enero de 2006;1.176.670,929786
